objectid,parentid,title,description,archival_call_number,archival_collection,finding_aid_ark,source,contributing_institution_valueURI,language,subject,topical_subject_fast_valueURI,geographic_subject_fast,geographic_subject_fast_valueURI,geographic_subject_local,location,latitude,longitude,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,extent,rights,rightsstatement,date,ark,date_created,date_modified,digital_collection,digital_collection_ark,digital_origin,pid,local_id,type,dcmi_type_valueURI,type_of_resource,imt_type,filename,identifier,format,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,object_ocr,pdf_download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks027,iowastateparks025,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-007-02.jpg,13-05-13_pammel_0049-002-007-02,image/jpeg,image,/objects/13-05-13_pammel_0049-002-007-02.jpg,/objects/small/13-05-13_pammel_0049-002-007-02_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-007-02_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks028,iowastateparks025,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-007-03.jpg,13-05-13_pammel_0049-002-007-03,image/jpeg,image,/objects/13-05-13_pammel_0049-002-007-03.jpg,/objects/small/13-05-13_pammel_0049-002-007-03_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-007-03_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks029,,Dedication program for Ledges State Park,A dedication program for Ledges State Park.,RS 13/5/13,Louis Hermann Pammel papers,https://n2t.net/ark:/87292/w9jv31,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,3 pages,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1924-11-09,https://n2t.net/ark:/87292/w9rg80,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_32,IowaStateParks_32,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-13_pammel_0049-002-008-01_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-008-01_th.jpg,,,,/objects/pdf/13-05-13_pammel_0049-002-008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks030,iowastateparks029,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-008-01.jpg,13-05-13_pammel_0049-002-008-01,image/jpeg,image,/objects/13-05-13_pammel_0049-002-008-01.jpg,/objects/small/13-05-13_pammel_0049-002-008-01_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-008-01_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks031,iowastateparks029,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-008-02.jpg,13-05-13_pammel_0049-002-008-02,image/jpeg,image,/objects/13-05-13_pammel_0049-002-008-02.jpg,/objects/small/13-05-13_pammel_0049-002-008-02_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-008-02_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks032,iowastateparks029,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-008-03.jpg,13-05-13_pammel_0049-002-008-03,image/jpeg,image,/objects/13-05-13_pammel_0049-002-008-03.jpg,/objects/small/13-05-13_pammel_0049-002-008-03_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-008-03_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks033,,Dedication of Dolliver Memorial State Park,"Dedication Program for Dolliver Memorial State Park, located in Webster County, Iowa.",RS 13/5/13,Louis Hermann Pammel papers,https://n2t.net/ark:/87292/w9jv31,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Webster County,http://id.worldcat.org/fast/1212641,Iowa--Dolliver Memorial State Park,Dolliver Memorial State Park,42.38947615,-94.08049322,,,,,3 pages,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1925,https://n2t.net/ark:/87292/w9mp5p,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_36,IowaStateParks_36,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-13_pammel_0049-002-020-01_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-020-01_th.jpg,,,,/objects/pdf/13-05-13_pammel_0049-002-020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks034,iowastateparks033,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-020-01.jpg,13-05-13_pammel_0049-002-020-01,image/jpeg,image,/objects/13-05-13_pammel_0049-002-020-01.jpg,/objects/small/13-05-13_pammel_0049-002-020-01_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-020-01_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks035,iowastateparks033,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-020-02.jpg,13-05-13_pammel_0049-002-020-02,image/jpeg,image,/objects/13-05-13_pammel_0049-002-020-02.jpg,/objects/small/13-05-13_pammel_0049-002-020-02_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-020-02_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks036,iowastateparks033,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,13-05-13_pammel_0049-002-020-03.jpg,13-05-13_pammel_0049-002-020-03,image/jpeg,image,/objects/13-05-13_pammel_0049-002-020-03.jpg,/objects/small/13-05-13_pammel_0049-002-020-03_sm.jpg,/objects/thumbs/13-05-13_pammel_0049-002-020-03_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
iowastateparks037,,Professor Pammel with a class at Ledges State Park,A black and white photograph showing Professor Pammel and a class at Ledges State Park.,RS 13/5,Iowa State University. Department of Botany records,https://n2t.net/ark:/87292/w9z19r,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,School field trips,http://id.worldcat.org/fast/1107418,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 photograph,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,https://n2t.net/ark:/87292/w9h04g,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_39,IowaStateParks_39,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-a_pammel_1026-002-001a_sm.jpg,/objects/thumbs/13-05-a_pammel_1026-002-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks038,iowastateparks037,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_37,IowaStateParks_37,,,,image/tiff,13-05-a_pammel_1026-002-001a.jpg,13-05-a_pammel_1026-002-001a,image/jpeg,image,/objects/13-05-a_pammel_1026-002-001a.jpg,/objects/small/13-05-a_pammel_1026-002-001a_sm.jpg,/objects/thumbs/13-05-a_pammel_1026-002-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks039,iowastateparks037,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_38,IowaStateParks_38,,,,image/tiff,13-05-a_pammel_1026-002-001b.jpg,13-05-a_pammel_1026-002-001b,image/jpeg,image,/objects/13-05-a_pammel_1026-002-001b.jpg,/objects/small/13-05-a_pammel_1026-002-001b_sm.jpg,/objects/thumbs/13-05-a_pammel_1026-002-001b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks040,,Professor Pammel in front of a bridge with Carl Fritz Hemming,A black and white photograph showing Professor Pammel standing in front of a bridge with Carl Fritz Hemming at Ledges State Park.,RS 13/5,Iowa State University. Department of Botany records,https://n2t.net/ark:/87292/w9z19r,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Boone County,http://id.worldcat.org/fast/1212206,Iowa--Ledges State Park,Ledges State Park,41.99183862,-93.87440815,,,,,1 photograph,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,https://n2t.net/ark:/87292/w9c60s,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_42,IowaStateParks_42,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-a_pammel_1026-002-002a_sm.jpg,/objects/thumbs/13-05-a_pammel_1026-002-002a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks041,iowastateparks040,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_40,IowaStateParks_40,,,,image/tiff,13-05-a_pammel_1026-002-002a.jpg,13-05-a_pammel_1026-002-002a,image/jpeg,image,/objects/13-05-a_pammel_1026-002-002a.jpg,/objects/small/13-05-a_pammel_1026-002-002a_sm.jpg,/objects/thumbs/13-05-a_pammel_1026-002-002a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks042,iowastateparks040,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_41,IowaStateParks_41,,,,image/tiff,13-05-a_pammel_1026-002-002b.jpg,13-05-a_pammel_1026-002-002b,image/jpeg,image,/objects/13-05-a_pammel_1026-002-002b.jpg,/objects/small/13-05-a_pammel_1026-002-002b_sm.jpg,/objects/thumbs/13-05-a_pammel_1026-002-002b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks043,,Pammel with W. T. Hornaday,A black and white photograph of Dr. W. J. Hornaday standing with Dr. L. H. Pammel near a rock dedicated to Hornaday's contributions to zoology and conservation at Iowa State University.,RS 13/5,Iowa State University. Department of Botany records,https://n2t.net/ark:/87292/w9z19r,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,1 photograph,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1924-04-30,https://n2t.net/ark:/87292/w97g9q,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_45,IowaStateParks_45,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-f_botany_1038-004-001a_sm.jpg,/objects/thumbs/13-05-f_botany_1038-004-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks044,iowastateparks043,Page 1,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_43,IowaStateParks_43,,,,image/tiff,13-05-f_botany_1038-004-001a.jpg,13-05-f_botany_1038-004-001a,image/jpeg,image,/objects/13-05-f_botany_1038-004-001a.jpg,/objects/small/13-05-f_botany_1038-004-001a_sm.jpg,/objects/thumbs/13-05-f_botany_1038-004-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks045,iowastateparks043,Page 2,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_44,IowaStateParks_44,,,,image/tiff,13-05-f_botany_1038-004-001b.jpg,13-05-f_botany_1038-004-001b,image/jpeg,image,/objects/13-05-f_botany_1038-004-001b.jpg,/objects/small/13-05-f_botany_1038-004-001b_sm.jpg,/objects/thumbs/13-05-f_botany_1038-004-001b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks046,,Botany trips with Dr. Pammel,Black and white photographs showing botany trips with Dr. Pammel.,RS 13/5,Iowa State University. Department of Botany records,https://n2t.net/ark:/87292/w9z19r,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa,http://id.worldcat.org/fast/1205835,,,,,,,,,2 items,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1921,https://n2t.net/ark:/87292/w93p51,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_48,IowaStateParks_48,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-f_botany_1038-005-001a_sm.jpg,/objects/thumbs/13-05-f_botany_1038-005-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks047,iowastateparks046,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_46,IowaStateParks_46,,,,image/tiff,13-05-f_botany_1038-005-001a.jpg,13-05-f_botany_1038-005-001a,image/jpeg,image,/objects/13-05-f_botany_1038-005-001a.jpg,/objects/small/13-05-f_botany_1038-005-001a_sm.jpg,/objects/thumbs/13-05-f_botany_1038-005-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks048,iowastateparks046,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_47,IowaStateParks_47,,,,image/tiff,13-05-f_botany_1038-005-001b.jpg,13-05-f_botany_1038-005-001b,image/jpeg,image,/objects/13-05-f_botany_1038-005-001b.jpg,/objects/small/13-05-f_botany_1038-005-001b_sm.jpg,/objects/thumbs/13-05-f_botany_1038-005-001b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks049,,Charlotte King at desk,"A black and white photograph showing Charlotte King seated at her desk in the Botany Lab, located on Iowa State's campus.",RS 13/5,Iowa State University. Department of Botany records,https://n2t.net/ark:/87292/w9z19r,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,Botany,http://id.worldcat.org/fast/836869,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,1 photograph,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1911,https://n2t.net/ark:/87292/w9004t,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_51,IowaStateParks_51,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/13-05-f_botany_1039-005-001a_sm.jpg,/objects/thumbs/13-05-f_botany_1039-005-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks050,iowastateparks049,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_49,IowaStateParks_49,,,,image/tiff,13-05-f_botany_1039-005-001a.jpg,13-05-f_botany_1039-005-001a,image/jpeg,image,/objects/13-05-f_botany_1039-005-001a.jpg,/objects/small/13-05-f_botany_1039-005-001a_sm.jpg,/objects/thumbs/13-05-f_botany_1039-005-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks051,iowastateparks049,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_50,IowaStateParks_50,,,,image/tiff,13-05-f_botany_1039-005-001b.jpg,13-05-f_botany_1039-005-001b,image/jpeg,image,/objects/13-05-f_botany_1039-005-001b.jpg,/objects/small/13-05-f_botany_1039-005-001b_sm.jpg,/objects/thumbs/13-05-f_botany_1039-005-001b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks052,,Professor Charles S. Gwynne,Black and white photograph showing Charles Sumner Gwynne standing next to Gwynne's Rock on the Iowa State University campus.,RS 13/8/12,Charles S. Gwynne papers,https://n2t.net/ark:/87292/w9r79z,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,,"Gwynne, Charles Sumner, 1885-",http://id.loc.gov/authorities/names/no2003109552,,,1 photograph,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,https://n2t.net/ark:/87292/w9rx93h76,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_54,IowaStateParks_54,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,,image/jpeg,multiple,,/objects/small/13-08-f_geolatmos_1057-010-001a_sm.jpg,/objects/thumbs/13-08-f_geolatmos_1057-010-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks053,iowastateparks052,Front,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_52,IowaStateParks_52,,,,image/tiff,13-08-f_geolatmos_1057-010-001a.jpg,13-08-f_geolatmos_1057-010-001a,image/jpeg,image,/objects/13-08-f_geolatmos_1057-010-001a.jpg,/objects/small/13-08-f_geolatmos_1057-010-001a_sm.jpg,/objects/thumbs/13-08-f_geolatmos_1057-010-001a_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks054,iowastateparks052,Back,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_53,IowaStateParks_53,,,,image/tiff,13-08-f_geolatmos_1057-010-001b.jpg,13-08-f_geolatmos_1057-010-001b,image/jpeg,image,/objects/13-08-f_geolatmos_1057-010-001b.jpg,/objects/small/13-08-f_geolatmos_1057-010-001b_sm.jpg,/objects/thumbs/13-08-f_geolatmos_1057-010-001b_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowastateparks055,,Partial list of common plants found in Backbone State Park,"A partial list of common plants found in Backbone State Park, complied by John R. Fitzsimmons.",RS 26/5,Iowa State University. Department of Landscape Architecture records,https://n2t.net/ark:/87292/w93f8r,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,eng,,,Iowa--Delaware County,http://id.worldcat.org/fast/1212219,,,,,,,,,5 pages,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,https://n2t.net/ark:/87292/w9v61h,2017-07-17,2023-12-13,Iowa State Parks,https://n2t.net/ark:/87292/w9dj58g4z,reformatted digital,IowaStateParks_60,IowaStateParks_60,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,,image/jpeg,multiple,,/objects/small/26-05-06_extensionla_0003-005-043-01_sm.jpg,/objects/thumbs/26-05-06_extensionla_0003-005-043-01_th.jpg,,,,/objects/pdf/26-05-06_extensionla_0003-005-043.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
